	by the hands of	1(1)	through the agency of
	by the name of	1(1)	called
	by way of	1(1)	so as to pass through or across; via
	by way of	2(2)	constituting; as a form of
	by way of	3(3)	by means of
	care of	1(1)	at the address of
	chez	1(1)	at the home of (used in conscious imitation of French)
	come	1(1)	on or at the arrival of (a specified date, time or season)
	complete with	1(1)	with (something) as an additional part or feature
	considering	1(1)	taking into consideration
	contrary to	1(1)	conflicting with or running counter to
	counting	1(1)	(when reaching or stating a total) taking account of; including
	courtesy of	1(1)	given or allowed by
	courtesy of	2(1a)	as a result of; thanks to
	cum	1(1)	combined with; also used as (used to describe things with a dual nature or function)
	dehors	1(1)	other than, not including, or outside the scope of
	down	6(n)	(be) totally wasted
	down	7(n)	from a higher to a lower point of (a scale)
	due to	1(1)	(of a thing) required of or owed to as a legal or moral obligation
	due to	3(3)	because of; owing to
	ere	1(1)	before (in time)
	ex	1(1)	(of goods) sold direct from
	ex	2(1a)	(of goods) without charges to the purchaser until removed from
	ex	3(2)	not including
	excepting	1(1)	except for; apart from
	excluding	1(1)	not taking someone or something into account; except
	exclusive of	1(1)	not including
	failing	1(1)	in the absence of; if not
	following	1(1)	coming after or as a result of
	following	2(n)	acting according to (instructions) or the lead of (someone)
	for all	1(1)	in spite of &amp;mdash;&amp;mdash;
	for the benefit of	1(1)	in order to help or be useful to
	for the benefit of	2(1a)	in order to interest or impress (someone)
	forbye	1(1)	in addition to; besides
	fore	5(1)	non-standard form of before
	fornent	1(1)	alongside, opposite, or close by
	frae	15(1)	from
	frae	7(4a)	indicating one extreme in a range of conceptual variations
	give or take	1(1)	to within (a specified amount)
	give or take	2(1a)	apart from
	given	1(1)	taking into account
	gone	1(1)	(of time) past
	gone	2(1a)	(of age) older than
	having regard to	1(1)	as concerns; in respect of
	in advance of	1(1)	ahead of; before
	in advance of	2(n)	ahead of
	in aid of	1(1)	in support of; for the purpose of raising money for
	in back of	1(1)	behind
	in bed with	1(1)	having sexual intercourse with
	in bed with	2(1a)	in undesirably close association with
	in bed with	3(n)	(for maladies, diseases and afflctions) because of
	in behalf of	1(1)	in the interests of a person, group, or principle
	in behalf of	2(2)	as a representative of
	in case of	1(1)	in the event of (a particular situation)
	in common with	1(1)	in the same way as
	in common with	2(n)	shared together with
	in company with	1(1)	together with
	in connection with	1(1)	with reference to; concerning
	in consideration of	1(1)	in return for; on account of
	in consideration of	2(n)	on account of
	in contravention of	1(1)	so as to violate the provisions of
	in default of	1(1)	in the absence of
	in default of	2(n)	failing to meet (financial obligations)
	in excess of	1(1)	more than
	in face of	1(1)	when confronted with
	in face of	2(1a)	despite
	in favor of	1(1)	to be replaced by
	in favor of	2(2)	in support or to the advantage of
	in favour of	1(1)	to be replaced by
	in favour of	2(2)	in support or to the advantage of
	in front of	3(2)	in the presence of
	in front of	4(n)	in store for; awaiting
	in honor of	1(1)	as a celebration of or expression of respect for
	in honour of	1(1)	as a celebration of or expression of respect for
	in lieu of	1(1)	instead of
	in light of	1(1)	considering
	in line with	2(n)	in alignment with
	in memoriam	1(1)	in memory of (a dead person)
	in peril of	1(1)	very likely to incur or to suffer from
	in place of	1(1)	instead of
	in place of	2(n)	instead of
	in proportion to	1(1)	according to (a particular relationship in size, amount, or degree)
	in proportion to	2(1a)	in comparison with; in relation to
	in proportion to	3(n)	In the correct or appropriate relation to (the size, shape, or position of other things)
	in re	1(1)	in the legal case of; with regard to
	in reference to	1(1)	in relation to; as regards
	in regard to	1(1)	as concerns; in respect of
	in relation to	1(1)	in the context of; in connection with
	in respect of	1(1)	as regards; with reference to
	in sight of	1(1)	so as to see or be seen from
	in sight of	2(1a)	within reach of; close to attaining
	in the course of	1(1)	while undergoing a process of
	in the course of	2(2)	during
	in the face of	1(1)	when confronted with
	in the face of	2(1a)	despite
	in the fashion of	1(1)	in a manner similar to
	in the grip of	1(1)	dominated or affected by something undesirable or adverse
	in the light of	1(1)	considering
	in the matter of	1(1)	as regards
	in the midst of	3(n)	in an atmosphere or against a background of
	in the name of	1(1)	bearing or using the name of a specified person or organization
	in the name of	2(1a)	for the sake of
	in the name of	3(1b)	by the authority of
	in the pay of	1(1)	employed by
	in the person of	1(1)	in the physical form of
	in the shape of	1(1)	represented or embodied by
	in the shape of	2(1a)	by way of; in the nature of
	in the teeth of	1(1)	directly against (the wind)
	in the teeth of	2(1a)	in spite of (opposition or difficulty)
	in the throes of	1(1)	in the middle of doing or dealing with something very difficult or painful
	in token of	1(1)	as a sign or symbol of
	in view of	1(1)	because of; as a result of
	in virtue of	1(1)	because of; as a result of
	including	1(1)	used to specify parts, species, members, or particulars of the general thing mentioned
	inclusive of	1(1)	containing (a specified element) as part of a whole
	inside	3(1b)	within (a person's body or mind), typically with reference to sensations of self-awareness
	inside	6(n)	expressing inclusion or involvement
	inside of	2(1a)	in less than (the period of time specified)
	irrespective of	1(1)	not taking (something) into account; regardless of
	less	1(1)	before subtracting (something); minus
	like	4(1c)	such as one might expect from; characteristic of
	like	5(1d)	used in questions to ask about the characteristics or nature of someone or something
	like	6(2)	used to draw attention to the nature of an action or event
	little short of	1(1)	almost (or equal to); little (or nothing) less than
	mid	1(1)	in the middle of
	mid	2(1a)	in the course of
	midst	1(1)	in the middle of
	minus	1(1)	with the subtraction of
	mod	1(1)	another term for modulo
	modulo	1(1)	(in number theory) with respect to or using a modulus of a specified number. Two numbers are congruent modulo a given number if they give the same remainder when divided by that number
	near to	1(1)	at or to a short distance away from (a place)
	near to	2(2)	a short period of time from
	near to	3(3)	close to (a state); verging on
	near to	4(3a)	a small amount below (another amount)
	near to	5(4)	similar to
	near to	6(n)	intimate or closely acquainted with
	neath	6(2c)	hidden behind (an appearance)
	neath	7(1)	beneath
	next door to	1(1)	in the next house or room to
	next door to	2(1a)	almost; near to
	next to	3(3)	almost
	nigh	1(1)	at or to a short distance away from (a place)
	nigh	2(2)	a short period of time from
	nigh	3(3)	close to (a state); verging on
	nigh	4(3a)	a small amount below (another amount)
	nigh	5(4)	similar to
	nigh	6(1)	almost
	nothing short of	1(1)	almost (or equal to); little (or nothing) less than
	notwithstanding	1(1)	in spite of
	o'	1(1)	expressing the relationship between a part and a whole
	o'	10(5a)	denoting the genus to which a given thing or quality belongs
	o'	11(6)	expressing the relationship between an abstract concept having a verb-like meaning and a noun denoting the subject of the underlying verb
	o'	12(6a)	expressing the relationship between a verbal noun and its object
	o'	19(1)	short for of, used to represent an informal pronunciation
	o'er	17(1)	archaic or literary term of over
	of	1(1)	expressing the relationship between a part and a whole
	of the name of	1(1)	called
	of the order of	1(1)	approximately
	of the order of	2(2)	having the order of magnitude specified by
	off	7(4)	having a temporary dislike of
	off	8(n)	indicating (the source) of something; from
	on	21(11)	paid for by
	on	22(12)	added to
	on	3(1b)	as a result of accidental physical contact with
	on	9(3a)-1	having (the thing mentioned) as the basis for monetary value
	on a level with	1(1)	in the same horizontal plane as
	on a level with	2(1a)	equal with
	on a par with	1(1)	equal in importance or quality to
	on behalf of	1(1)	in the interests of a person, group, or principle
	on behalf of	2(2)	as a representative of
	on pain of	1(1)	the penalty for disobedience or shortcoming being
	on the order of	1(1)	approximately
	on the order of	2(2)	similar to
	on the order of	3(n)	specifying degree of mathematical complexity
	on the part of	1(1)	used to ascribe responsibility for something to someone
	on the point of	1(1)	the verge or brink of (doing or being something)
	on the score of	1(1)	because of
	on the strength of	1(1)	on the basis or with the justification of
	on the stroke of	1(1)	precisely at the specified time
	on top of	2(1a)	so as to cover; over
	on top of	3(2)	in command or control of
	on top of	6(n)	using (an existing system or product) as a basis or support
	onto	3(n)	(often followed by a noun without a determiner) putting something on (a medium for transmitting, storing, or viewing information)
	onto	4(n)	concerning or likely to concern (something)
	onto	5(n)	becoming a member of (a committee or other body)
	onto	6(n)	identifying the person or thing affected by or receiving something
	onto	7(n)	expressing motion in the direction of (a particular location)
	onto	8(n)	coming to have (the thing mentioned) as a target, aim, or focus
	onto	9(n)	located on the surface of (a place)
	opposite	1(1)	in a position on the other side of a specific area from; facing
	opposite	2(2)	(of a leading actor) in a complementary role to (another)
	out of	3(2)	indicating the dam of a pedigree animal, especially a horse
	out of	8(7)	eliminated from (a competition)
	out of	9(n)	not in (a state or condition)
	out of keeping with	1(1)	not in harmony or conformity with
	out of line with	1(1)	out of alignment or not in accordance with
	outboard of	1(1)	to the outside or on the far side of
	outside	4(2)	beyond the limits or scope of
	outside of	3(n)	beyond the limits or scope of
	outta	1(1)	indicating the source or derivation of something; from
	outta	10(1)	a non-standard contraction of &amp;lsquo;out of&amp;rsquo;, used in representing informal speech
	outta	2(1a)	having (the thing mentioned) as a motivation
	outta	3(2)	indicating the dam of a pedigree animal, especially a horse
	outta	4(3)	from among (a number)
	outta	5(4)	not having (a particular thing)
	outta	6(5)	moving or situated away from (a place)
	outta	7(6)	situated far or at a particular distance from somewhere
	outta	8(7)	eliminated from (a competition)
	outta	9(n)	not in (a state or condition)
	outwith	1(1)	situated or moving beyond the confines or boundaries of
	outwith	2(1a)	not being a member of (a particular group)
	outwith	3(1b)	(in soccer, rugby, and other sports) closer to the side of the field than (another player)
	outwith	4(2)	beyond the limits or scope of
	outwith	5(1)	outside; beyond
	over against	1(1)	adjacent to
	over against	2(2)	in contrast with
	over and above	1(1)	in addition to
	over and above	2(n)	at a higher level than
	overtop	1(1)	over
	pace	1(1)	with due respect to (someone or their opinion), used to express polite disagreement or contradiction
	past	4(3)	no longer capable of
	past	5(3a)	beyond the limits or scope of
	past	6(n)	higher than (a specified amount or rate)
	pending	1(1)	until (something) happens
	per	2(2)	by means of
	per	3(3)	divided by a line in the direction of
	per	4(n)	as stated by
	plus	1(1)	with the addition of
	preparatory to	1(1)	as a preparation for
	previous to	1(1)	before
	prior to	1(1)	before
	pro	1(1)	in favor of
	qua	1(1)	in the capacity of; as being
	re	1(1)	in the matter of (used typically as the first word in the heading of an official document or to introduce a reference in a formal letter)
	relative to	1(1)	in comparison with
	relative to	2(1a)	in terms of a connection to
	relative to	3(2)	about; concerning
	respecting	1(1)	with reference to; with regard to
	round	9(n)	all day and all night; over a (time period)
	round about	1(1)	at a point or time approximately equal to
	round about	2(n)	on every side of
	sans	1(1)	in the absence of
	sans	2(1a)	in circumstances in which the action mentioned does not happen
	sans	3(2)	not having the use or benefit of
	sans	4(3)	outside
	sans	5(1)	without
	save	1(1)	except; other than
	save	2(n)	except for; other than for
	saving	1(1)	with the exception of; except
	saving	2(2)	with due respect to
	short for	1(1)	an abbreviation or nickname for
	short of	1(1)	less than
	short of	2(1a)	not reaching as far as
	short of	3(1b)	without going so far as (some extreme action)
	short of	4(n)	not reaching as far as (some location)
	short of	5(n)	not having enough of (something); lacking or deficient in
	subsequent to	1(1)	coming after something in time; following
	this side of	1(1)	before (a particular time, date, or event)
	this side of	2(1a)	yet to reach (a particular age)
	this side of	3(2)	used to convey that something is comparable with a paragon or model of its kind
	this side of	4(n)	on this side of
	thro'	14(1)	literary or informal spelling of through
	thro'	8(2a)	so as to complete (a particular stage or trial) successfully
	through	8(2a)	so as to complete (a particular stage or trial) successfully
	throughout	3(n)	so as to include all parts of
	thru	14(1)	informal spelling of through
	thru	8(2a)	so as to complete (a particular stage or trial) successfully
	thwart	1(1)	from side to side of; across
	thwart	2(2)	in opposition to; counter to
	thwart	3(1)	from one side to another side of; across
	till	2(1)	less formal way of saying until
	to	10(4a)	used in various phrases to indicate how something is related to something else (often followed by a noun without a determiner)
	to	16(8)	placed before a debit entry in accounting
	to the accompaniment of	1(1)	with accompanying or background music or sound from
	to the accompaniment of	2(n)	with something that supplements or complements
	to the tune of	1(1)	amounting to or involving (a specified considerable sum)
	touching	1(1)	concerning; about
	toward	4(2)-1	expressing the relation between an attitude and the person or thing at which it is directed or with which it is concerned
	toward	6(1)	variant of towards
	towards	4(2)-1	expressing the relation between an attitude and the person or thing at which it is directed or with which it is concerned
	under	16(5b)	planted with
	under cover of	1(1)	concealed by
	under cover of	2(1a)	while pretending to do
	under cover of	3(n)	as stated in
	under pain of	1(1)	the penalty for disobedience or shortcoming being
	under sentence of	1(1)	condemned to
	under the heel of	1(1)	dominated or controlled by
	underneath	1(1)	situated directly below (something else)
	underneath	2(2)	so as to be concealed by (something else)
	underneath	3(2a)	partly or wholly concealed by (a garment)
	underneath	4(n)	lower in grade or rank than
	underneath	5(n)	lower than (a specified amount or standard)
	unlike	3(1b)	uncharacteristic of (someone)
	unto	1(1)	archaic term for to
	unto	1(1)-1	(with a reflexive pronoun) in its own right
	unto	2(2)	archaic term for until
	unto	3(n)	expressing motion in the direction of (a particular location)
	unto	4(n)	approaching or reaching (a particular condition)
	unto	5(n)	expressing a change of state
	unto	6(n)	identifying a particular relationship between one person and another
	unto	7(n)	how something is related to something else
	up against	1(1)	close to or in contact with
	up against	2(1a)	confronted with
	up and down	2(1a)	to and fro along
	up and down	3(2)	in various places throughout
	up before	1(1)	appearing for a hearing in the presence of
	up for	1(1)	available for
	up for	2(2)	being considered for
	up for	3(3)	due for
	up for	4(4)	ready to take part in (a particular activity)
	upon	21(11)	paid for by
	upon	22(12)	added to
	upon	23(1)	more formal term for on, especially in abstract senses
	upon	3(1b)	as a result of accidental physical contact with
	upon	9(3a)-1	having (the thing mentioned) as the basis for monetary value
	upside	1(1)	against; on
	upward of	1(1)	more than
	upwards of	1(1)	more than
	versus	1(1)	against (especially in sporting and legal use)
	vice	1(1)	as a substitute for
	vis-a-vis	1(1)	in relation to; with regard to
	vis-a-vis	2(1a)	as compared with; as opposed to
	while	1(1)	up to (the point in time or the event mentioned)
	while	2(1)	until
	with	15(9)-1	indicating a party sharing an opinion
	with	16(10)	indicating separation or removal from something
	with	8(6)	indicating responsibility
	with reference to	1(1)	in relation to; as regards
	with regard to	1(1)	as concerns; in respect of
	with respect to	1(1)	as regards; with reference to
	within	7(n)	expressing inclusion or involvement
	within sight of	1(1)	so as to see or be seen from
	within sight of	2(1a)	within reach of; close to attaining
